dataset	subject	group	lineage_score_change
GSE112594	9001008	Active	-2.1898588597268698
GSE112594	9002081	Active	-2.965118345689077
GSE112594	9002187	Active	-1.5084656591716443
GSE112594	9002505	Active	-2.7393186261740294
GSE112594	9006024	Placebo	-0.1483971161947465
GSE112594	9009405	Placebo	0.13796287053543413
GSE112594	9009770	Active	-2.37207272317373
GSE112594	9010167	Placebo	-0.3195871518057587
GSE112594	9013342	Active	-0.33206269805207955
GSE112594	9018544	Active	-2.442127578224115
GSE112594	9023796	Placebo	0.2715163772424244
GSE112594	9025607	Active	-0.21497331236290512
GSE112594	9026667	Placebo	-0.06221931475161768
GSE112594	9030260	Active	-2.4587144880358918
GSE112594	9031738	Placebo	-0.04685620522276113
GSE112594	9033687	Active	-1.467033560997966
GSE112594	9038695	Active	-2.026451659323977
GSE112594	9040692	Active	-2.135796393795692
GSE112594	9043255	Active	-2.1662872468241945
GSE112594	9046664	Active	-1.4195487473400208
GSE112594	9050288	Active	-2.0736032297031493
GSE112594	9051323	Active	-2.509083818088052
GSE112594	9057251	Active	-0.48249068197081274
GSE112594	9061703	Active	-2.78683920410842
GSE112594	9063516	Active	-2.249595780782623
GSE112594	9065614	Active	-1.599595402312656
GSE112594	9066553	Active	-3.3232995204597913
GSE112594	9066662	Placebo	-0.3512469111885872
GSE112594	9075694	Placebo	-0.0756948851028193
GSE112594	9076024	Active	-2.3484408874775116
GSE112594	9081664	Placebo	-0.04253672794813923
GSE112594	9081957	Active	-2.314367899458453
GSE112594	9085087	Active	-2.245416525955875
GSE112594	9089953	Placebo	-0.19877978766857773
GSE112594	9092380	Active	-1.5184441489126912
