gene	ensembl	GSE302674_percentile	GSE262073_percentile	primary_symbol
PPBP	ENSG00000163736	0.999691	0.999538	PPBP
PF4	ENSG00000163737	0.999105	0.999472	PF4
GP1BA	ENSG00000185245	0.974164	0.989532	GP1BA
GP1BB	ENSG00000203618		0.307568	GP1BB
GP9	ENSG00000169704	0.993178	0.996176	GP9
ITGA2B	ENSG00000005961	0.998055	0.999225	ITGA2B
ITGB3	ENSG00000259207	0.996265	0.998929	ITGB3
TUBB1	ENSG00000101162	0.998765	0.99967	TUBB1
TREML1	ENSG00000161911	0.996666	0.998137	TREML1
RGS18	ENSG00000150681	0.999074	0.999308	RGS18
CAVIN2	ENSG00000168497	0.999321	0.999505	SDPR
NBEAL2	ENSG00000160796	0.902861	0.989499	NBEAL2
SPARC	ENSG00000113140	0.999259	0.999637	SPARC
CLU	ENSG00000120885	0.999043	0.99944	CLU
