variant	n_genes	responder_mean_delta	nonresponder_mean_delta	difference	between_exact_p	responder_signflip_p	sample_score_correlation_with_locked
Locked 12-gene	12	0.8861826509574865	-0.37097132837058	1.2571539793280664	0.03806734992679356	0.001953125	0.9999999999999999
Strict dual-reference	11	0.8954555785887108	-0.34622801126635094	1.2416835898550618	0.040995607613469986	0.0009765625	0.9990719270726798
Leave out PPBP	11	0.8742946341087439	-0.3831028425731049	1.2573974766818488	0.04172767203513909	0.001953125	0.9995084865960077
Leave out PF4	11	0.8892710013708008	-0.35627839931359734	1.2455494006843981	0.048316251830161056	0.0009765625	0.9996016696628278
Leave out GP1BA	11	0.8954555785887108	-0.34622801126635094	1.2416835898550618	0.040995607613469986	0.0009765625	0.9990719270726798
Leave out GP9	11	0.8882221046345304	-0.36218862684644226	1.2504107314809727	0.048316251830161056	0.001953125	0.9997126686463609
Leave out ITGA2B	11	0.8663820729677337	-0.38181775353089353	1.2481998264986274	0.048316251830161056	0.001953125	0.9995664280092043
Leave out ITGB3	11	0.8573421548643473	-0.397504010980448	1.2548461658447954	0.03733528550512445	0.001953125	0.99960224877312
Leave out TUBB1	11	0.8952145810667184	-0.3727338717815442	1.2679484528482625	0.04026354319180088	0.001953125	0.9997159689809706
Leave out TREML1	11	0.8682908757619274	-0.3707389280601985	1.239029803822126	0.04758418740849195	0.001953125	0.9994912364957705
Leave out RGS18	11	0.9152180055621263	-0.39937568930154865	1.314593694863675	0.03294289897510981	0.001953125	0.9971346065240557
Leave out SDPR	11	0.9255554428240991	-0.3540315608355796	1.2795870036596786	0.03513909224011713	0.0009765625	0.9992971859084416
Leave out SPARC	11	0.8655260828545405	-0.3690660781595419	1.2345921610140824	0.040995607613469986	0.001953125	0.9997441502300572
Leave out CLU	11	0.8934192768855599	-0.35859016779770886	1.2520094446832688	0.038799414348462666	0.001953125	0.9997577539341722
