requested_tail_size	young_genes_detected	mature_genes_detected	residualization	score	responder_n	responder_mean_change	responder_exact_signflip_p	nonresponder_n	nonresponder_mean_change	between_exact_p	sample_correlation_with_platelet_score
25	24	13	all_samples	young_minus_mature	11	0.3959469060671123	0.025390625	4	-0.3974217737172634	0.006588579795021962	0.6706620922677089
25	24	13	all_samples	age_residual	11	-0.046009913047232794	0.650390625	4	-0.212411033445899	0.4773060029282577	0.6706620922677089
25	24	13	baseline_fitted	young_minus_mature	11	0.3959469060671123	0.025390625	4	-0.3974217737172634	0.006588579795021962	0.6706620922677089
25	24	13	baseline_fitted	age_residual	11	0.10120205029678324	0.3388671875	4	-0.2740364980549897	0.08931185944363104	0.6706620922677089
50	46	37	all_samples	young_minus_mature	11	0.5065079326786688	0.015625	4	-0.44180516564311956	0.015373352855051245	0.6378501505951379
50	46	37	all_samples	age_residual	11	0.0724731440201375	0.537109375	4	-0.26011072383281186	0.24231332357247437	0.6378501505951379
50	46	37	baseline_fitted	young_minus_mature	11	0.5065079326786688	0.015625	4	-0.44180516564311956	0.015373352855051245	0.6378501505951379
50	46	37	baseline_fitted	age_residual	11	0.26418782827847437	0.076171875	4	-0.34036579428653646	0.04465592972181552	0.6378501505951379
100	94	81	all_samples	young_minus_mature	11	0.5543771741438754	0.0126953125	4	-0.4224116860507636	0.013909224011713031	0.6874497202564314
100	94	81	all_samples	age_residual	11	0.0995972679645595	0.404296875	4	-0.23203298056685082	0.2027818448023426	0.6874497202564314
100	94	81	baseline_fitted	young_minus_mature	11	0.5543771741438754	0.0126953125	4	-0.4224116860507636	0.013909224011713031	0.6874497202564314
100	94	81	baseline_fitted	age_residual	11	0.2716088536509086	0.0703125	4	-0.304039994434984	0.04685212298682284	0.6874497202564314
