young_gene	mature_gene
CIC	DDX10
TSC22D4	FAM185A
INF2	EXOC6B
KIAA0513	FANCL
IRS1	UGGT2
HMHA1	ACSL3
SEC14L5	UBAP2
UNC13D	FIP1L1
PEAR1	CLNS1A
PITPNM2	NOS1AP
SPTB	LARP1B
ATP2A3	RP11-380G5.2
NBEAL2	POMT1
BCOR	CWC27
TTYH3	HNRNPM
MOB3C	KIAA1841
RBM38	DDX21
SRC	UBE2Q2
PTGIR	RBM23
HDAC5	RNF168
VWF	FRA10AC1
ITPKB	ZC3H6
ANKRD9	NOP58
TNFAIP8L1	NPM1
ORAI2	MTRNR2L1
TNS1	UBXN7
STIM1	KPNA5
GTPBP2	EMC2
JAK3	MITD1
FURIN	MT-TQ
GAS2L1	MTRNR2L9
UBE2O	DNAJC2
CLIP2	SMARCA5
LMNA	LINS
TAL1	RNY3P1
RP11-215G15.5	PNN
STARD8	EIF3J
FLNA	POLR3G
AL161626.1	NVL
ARRB1	MT-TL1
SPHK1	MT-TT
TNK2	MT-TH
LZTS2	RNY3
BCR	MT-RNR2
RNPEPL1	MTRNR2L8
ARAP1	MT-TG
PTPRS	MT-TV
SKI	MTRNR2L2
CTDSP2	Y_RNA
FAM212B	MTRNR2L12
